timestamp,NO,NO2,O3,PM10,PM2.5
2023-01-05 02:00:00,0.64,2.955,65.78,2.803333333333333,1.903333333333333
2023-01-05 03:00:00,1.2275,4.2675,62.54,3.02,2.143333333333333
2023-01-05 04:00:00,2.6475,9.015,57.935,2.983333333333333,1.98
2023-01-05 05:00:00,2.4875,8.5975,59.125,2.59,1.6900000000000002
2023-01-05 06:00:00,4.6325,10.08,56.7875,2.606666666666667,1.63
2023-01-05 07:00:00,4.625,11.99,52.9775,2.833333333333333,1.6833333333333331
2023-01-05 08:00:00,6.1675,11.52,54.345,2.603333333333333,1.5733333333333333
2023-01-05 09:00:00,4.763333333333333,9.966666666666669,55.04,2.686666666666667,1.64
2023-01-05 10:00:00,7.053333333333334,12.703333333333331,51.07,2.7566666666666664,1.7166666666666668
2023-01-05 11:00:00,4.71,9.93,55.05,2.72,1.65
2023-01-05 12:00:00,6.975,11.6725,51.55,3.293333333333333,1.85
2023-01-05 13:00:00,7.295,12.92,48.4925,3.3433333333333333,1.94
2023-01-05 14:00:00,7.387499999999999,13.835,47.66,3.373333333333333,2.0166666666666666
2023-01-05 15:00:00,6.705,15.0,46.4225,3.646666666666667,2.07
2023-01-05 16:00:00,5.9375,18.52,42.2225,4.44,2.81
2023-01-05 17:00:00,10.5975,25.78,34.8425,4.9366666666666665,3.1633333333333336
2023-01-05 18:00:00,6.105,28.0425,26.4075,6.086666666666666,4.47
2023-01-05 19:00:00,8.52,31.37,19.1275,8.253333333333332,6.793333333333334
2023-01-05 20:00:00,18.54,33.7075,14.8325,10.336666666666666,8.276666666666667
2023-01-05 21:00:00,16.3525,30.7525,11.7625,11.973333333333334,10.056666666666668
2023-01-05 22:00:00,16.009999999999998,30.4625,7.712499999999999,12.78,11.15
2023-01-05 23:00:00,12.91,25.22,8.89,11.98,10.57
2023-01-06 00:00:00,15.82,22.925,8.605,11.263333333333334,9.596666666666666
2023-01-06 01:00:00,15.78,21.5825,8.6725,10.826666666666668,9.07
2023-01-06 02:00:00,9.85,22.4375,9.73,10.603333333333332,9.553333333333333
2023-01-06 03:00:00,8.932500000000001,22.5325,9.57,8.303333333333333,7.75
2023-01-06 04:00:00,11.6025,24.13,6.655,8.646666666666667,8.0
2023-01-06 05:00:00,10.5275,23.5875,8.1475,10.31,9.23
2023-01-06 06:00:00,22.9175,27.2525,5.2325,10.4,9.13
